對話ID,學生ID,組別,班級,時間點,提問類型,Bloom層級,SOLO層級,知識點,分數
D0001,S001,實驗組,1班,前測,分析型,Level 4,SOLO 3,函式,87.5
D0002,S001,實驗組,1班,前測,分析型,Level 4,SOLO 4,變數與資料型態,67.0
D0003,S001,實驗組,1班,前測,分析型,Level 4,SOLO 3,遞迴,79.8
D0004,S001,實驗組,1班,前測,應用型,Level 3,SOLO 2,條件判斷,82.8
D0005,S001,實驗組,1班,後測,分析型,Level 4,SOLO 4,遞迴,84.7
D0006,S001,實驗組,1班,後測,應用型,Level 3,SOLO 3,陣列,65.4
D0007,S001,實驗組,1班,後測,評鑑型,Level 5,SOLO 5,字典,83.2
D0008,S001,實驗組,1班,後測,應用型,Level 3,SOLO 3,例外處理,73.5
D0009,S002,實驗組,2班,前測,分析型,Level 4,SOLO 3,迴圈,85.3
D0010,S002,實驗組,2班,前測,事實型,Level 1,SOLO 1,迴圈,69.3
D0011,S002,實驗組,2班,前測,分析型,Level 4,SOLO 4,例外處理,74.9
D0012,S002,實驗組,2班,前測,理解型,Level 2,SOLO 2,函式,81.3
D0013,S002,實驗組,2班,後測,理解型,Level 2,SOLO 1,函式,61.8
D0014,S002,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,85.4
D0015,S002,實驗組,2班,後測,評鑑型,Level 5,SOLO 5,遞迴,86.2
D0016,S002,實驗組,2班,後測,應用型,Level 3,SOLO 3,字典,77.2
D0017,S003,實驗組,3班,前測,理解型,Level 2,SOLO 1,變數與資料型態,72.9
D0018,S003,實驗組,3班,前測,分析型,Level 4,SOLO 4,字典,76.8
D0019,S003,實驗組,3班,前測,應用型,Level 3,SOLO 2,陣列,72.2
D0020,S003,實驗組,3班,前測,事實型,Level 1,SOLO 1,字典,74.7
D0021,S003,實驗組,3班,後測,分析型,Level 4,SOLO 4,遞迴,81.6
D0022,S003,實驗組,3班,後測,分析型,Level 4,SOLO 4,陣列,87.9
D0023,S003,實驗組,3班,後測,事實型,Level 1,SOLO 1,函式,73.6
D0024,S003,實驗組,3班,後測,分析型,Level 4,SOLO 3,遞迴,68.7
D0025,S004,實驗組,4班,前測,事實型,Level 1,SOLO 1,條件判斷,66.4
D0026,S004,實驗組,4班,前測,分析型,Level 4,SOLO 4,陣列,81.6
D0027,S004,實驗組,4班,前測,分析型,Level 4,SOLO 4,函式,84.6
D0028,S004,實驗組,4班,前測,事實型,Level 1,SOLO 1,變數與資料型態,61.2
D0029,S004,實驗組,4班,後測,評鑑型,Level 5,SOLO 4,函式,80.3
D0030,S004,實驗組,4班,後測,分析型,Level 4,SOLO 3,迴圈,84.5
D0031,S004,實驗組,4班,後測,分析型,Level 4,SOLO 4,函式,75.8
D0032,S004,實驗組,4班,後測,分析型,Level 4,SOLO 3,條件判斷,65.5
D0033,S005,實驗組,1班,前測,事實型,Level 1,SOLO 1,例外處理,69.0
D0034,S005,實驗組,1班,前測,分析型,Level 4,SOLO 4,條件判斷,93.0
D0035,S005,實驗組,1班,前測,分析型,Level 4,SOLO 4,字典,70.7
D0036,S005,實驗組,1班,前測,理解型,Level 2,SOLO 2,變數與資料型態,66.6
D0037,S005,實驗組,1班,後測,分析型,Level 4,SOLO 3,迴圈,84.3
D0038,S005,實驗組,1班,後測,分析型,Level 4,SOLO 3,迴圈,65.5
D0039,S005,實驗組,1班,後測,評鑑型,Level 5,SOLO 5,字典,87.3
D0040,S005,實驗組,1班,後測,分析型,Level 4,SOLO 4,陣列,77.6
D0041,S006,實驗組,2班,前測,事實型,Level 1,SOLO 1,函式,67.2
D0042,S006,實驗組,2班,前測,應用型,Level 3,SOLO 3,條件判斷,78.6
D0043,S006,實驗組,2班,前測,事實型,Level 1,SOLO 1,陣列,58.6
D0044,S006,實驗組,2班,前測,評鑑型,Level 5,SOLO 4,陣列,71.2
D0045,S006,實驗組,2班,後測,分析型,Level 4,SOLO 4,變數與資料型態,65.3
D0046,S006,實驗組,2班,後測,分析型,Level 4,SOLO 4,遞迴,88.4
D0047,S006,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,84.1
D0048,S006,實驗組,2班,後測,分析型,Level 4,SOLO 3,函式,82.7
D0049,S007,實驗組,3班,前測,理解型,Level 2,SOLO 1,陣列,63.9
D0050,S007,實驗組,3班,前測,事實型,Level 1,SOLO 1,遞迴,66.6
D0051,S007,實驗組,3班,前測,事實型,Level 1,SOLO 1,陣列,48.3
D0052,S007,實驗組,3班,前測,分析型,Level 4,SOLO 4,條件判斷,82.8
D0053,S007,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,遞迴,94.8
D0054,S007,實驗組,3班,後測,創造型,Level 6,SOLO 5,迴圈,80.3
D0055,S007,實驗組,3班,後測,分析型,Level 4,SOLO 3,條件判斷,71.8
D0056,S007,實驗組,3班,後測,評鑑型,Level 5,SOLO 4,條件判斷,94.3
D0057,S008,實驗組,4班,前測,理解型,Level 2,SOLO 1,陣列,69.6
D0058,S008,實驗組,4班,前測,創造型,Level 6,SOLO 5,迴圈,85.5
